Date,Day,Time,Event,Category,Details,Participants,Age Group,Venue,Volunteer / Coordinator,Contact,Rules,Registration,Featured,Status
2026-09-07,Monday,6:30 PM - 8:00 PM,Idol Welcome Procession,Community,Society procession and placement of the Ganpati idol at the mandap.,All Residents,All ages,Main Entrance,Festival Committee,9876543210,Please gather 15 minutes early and follow volunteer instructions.,,,Scheduled
2026-09-08,Tuesday,7:00 PM - 8:00 PM,Volunteer Orientation,Volunteer,"Briefing on event flow, safety and volunteer responsibilities.",All Volunteers,16+,Clubhouse,Coordination Team,events@austinarena.org,Attendance is mandatory for active volunteers.,,,Scheduled
2026-09-14,Monday,10:30 AM - 12:30 PM,Ganesh Sthapana & Maha Aarti,Puja,"Traditional welcome procession, Ganesh Sthapana, prasad distribution and Maha Aarti.",All Residents,All ages,Central Lawn,Puja Committee,9876543211,Please maintain queue discipline during darshan.,,Yes,Scheduled
2026-09-15,Tuesday,5:00 PM - 6:30 PM,Kids Drawing Competition,Kids,Ganeshotsav-themed drawing competition across three age groups.,Children,5-12 years,Clubhouse,Cultural Team,9876543212,Bring your own colours and drawing sheets.,https://example.com/register/drawing,,Scheduled
2026-09-16,Wednesday,7:30 PM - 9:00 PM,Bhajan Sandhya,Cultural,An evening of devotional songs followed by aarti and mahaprasad.,All Residents,All ages,Central Lawn,Bhajan Group,9876543213,Please maintain silence during performances.,,,Scheduled
2026-09-18,Friday,4:30 PM - 6:30 PM,Modak Making Contest,Food,Showcase traditional recipes and creative presentation.,Adults & Teens,13+,Clubhouse,Food Committee,9876543214,One entry per household.,https://example.com/register/modak,Yes,Scheduled
2026-09-19,Saturday,7:00 PM - 9:30 PM,Talent Night,Cultural,"Dance, music and stage performances by Austin Arena residents.",All Residents,All ages,Main Stage,Youth Committee,9876543215,Each performance slot is capped at 5 minutes.,https://example.com/register/talent,Yes,Scheduled
2026-09-21,Monday,7:00 PM - 9:00 PM,Family Games & Antakshari,Games,An energetic evening of family games and team Antakshari.,Families,All ages,Clubhouse,Events Team,9876543216,Form teams of 4 to 6 members.,https://example.com/register/antakshari,,Scheduled
2026-09-25,Friday,4:00 PM - 8:00 PM,Uttar Puja & Visarjan,Puja,"Uttar Puja, farewell procession and eco-conscious Visarjan.",All Residents,All ages,Central Lawn,Festival Committee,9876543210,Please avoid plastic decorations and follow the eco-guidelines.,,,Scheduled

